family,seed,regime,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
A_main,28002,typical,uncertainty_vision_proxy,2000,0.823,0.9014238773274917,0.9237933954276037,0.09,0.0,0.087,0.7818181818181819,1.0,0.8775510204081634,0.0,0.0,0.46304999999999863,0.0,0.0
A_main,28002,typical,conservative_prior,2000,0.8495,0.9935672514619883,0.9928226183670288,0.004,0.0015,0.145,0.9777777777777777,0.9915492957746479,0.9846153846153846,0.0,0.0,0.04265000000000012,0.0,0.0
A_main,28002,typical,eager_eatl,2000,0.9765,0.9765,0.9765639749420749,0.016,0.0075,0.0,0.9516616314199395,0.9767441860465116,0.9640397857689365,0.10199999999999987,1.0,0.18650000000000116,0.0,0.972
A_main,28002,typical,risk_aware_eatl,2000,0.988,0.988,0.9870820103549873,0.007,0.005,0.0,0.9784283513097073,0.9844961240310077,0.9814528593508501,0.05503999999999973,0.555,0.09304000000000001,0.0,0.5375
A_main,28002,typical,cached_eatl,2000,0.974,0.974,0.9722818158414142,0.0155,0.0105,0.0,0.9526717557251908,0.9674418604651163,0.9600000000000001,0.10199999999999987,1.0,0.1858000000000014,0.0,0.9695
A_main,28002,typical,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28002,typical,random_test_control,2000,0.5025,0.5025,0.5008295431791527,0.335,0.1625,0.0,0.32323232323232326,0.49612403100775193,0.39143730886850153,0.06630000000000039,1.0,1.8388000000000122,0.0,0.503
A_main,28002,label_preserving_flips,text_prior,2000,0.8035,0.8035,0.8770624883224988,0.1935,0.003,0.0,0.4046153846153846,0.9776951672862454,0.5723612622415669,0.0,0.0,0.9692999999999999,0.0,0.0
A_main,28002,label_preserving_flips,calibrated_text_prior,2000,0.8035,0.8035,0.8770624883224988,0.1935,0.003,0.0,0.4046153846153846,0.9776951672862454,0.5723612622415669,0.0,0.0,0.9692999999999999,0.0,0.0
A_main,28002,label_preserving_flips,passive_vision_proxy,2000,0.781,0.781,0.8734835355285961,0.219,0.0,0.0,0.38048090523338046,1.0,0.5512295081967213,0.0,0.0,1.095,0.0,0.0
A_main,28002,label_preserving_flips,uncertainty_vision_proxy,2000,0.781,0.8804960541149943,0.9295681063122924,0.106,0.0,0.113,0.5592515592515592,1.0,0.7173333333333333,0.0,0.0,0.5469499999999987,0.0,0.0
A_main,28002,label_preserving_flips,conservative_prior,2000,0.734,0.8584795321637427,0.9022395326192795,0.118,0.003,0.145,0.34444444444444444,0.9538461538461539,0.5061224489795919,0.0,0.0,0.6135499999999999,0.0,0.0
A_main,28002,label_preserving_flips,eager_eatl,2000,0.9725,0.9725,0.9731240295593797,0.024,0.0035,0.0,0.8451612903225807,0.9739776951672863,0.9050086355785838,0.10199999999999987,1.0,0.2241000000000017,0.0,0.789
A_main,28002,label_preserving_flips,risk_aware_eatl,2000,0.987,0.987,0.9799308047650648,0.009,0.004,0.0,0.9354838709677419,0.9702602230483272,0.9525547445255474,0.07063499999999982,0.702,0.11803500000000025,0.0,0.4985
A_main,28002,label_preserving_flips,cached_eatl,2000,0.976,0.976,0.9798556392398403,0.022,0.002,0.0,0.8576051779935275,0.9851301115241635,0.9169550173010381,0.10046999999999985,0.985,0.21167000000000172,0.0,0.7755
A_main,28002,label_preserving_flips,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28002,label_preserving_flips,random_test_control,2000,0.494,0.494,0.4643511389724658,0.4285,0.0775,0.0,0.11740473738414006,0.42379182156133827,0.18387096774193548,0.06630000000000039,1.0,2.255300000000016,0.0,0.4905
A_main,28002,label_swap,text_prior,2000,0.679,0.679,0.6320158488776038,0.1665,0.1545,0.0,0.4876923076923077,0.5063897763578274,0.49686520376175547,0.0,0.0,0.9251999999999958,0.0,0.0
A_main,28002,label_swap,calibrated_text_prior,2000,0.679,0.679,0.6320158488776038,0.1665,0.1545,0.0,0.4876923076923077,0.5063897763578274,0.49686520376175547,0.0,0.0,0.9251999999999958,0.0,0.0
A_main,28002,label_swap,passive_vision_proxy,2000,0.8185,0.8185,0.8679039301310043,0.1815,0.0,0.0,0.6329625884732053,1.0,0.7752321981424148,0.0,0.0,0.9075,0.0,0.0
A_main,28002,label_swap,uncertainty_vision_proxy,2000,0.8185,0.8994505494505495,0.9233668341708543,0.0915,0.0,0.09,0.7737948084054388,1.0,0.8724738675958189,0.0,0.0,0.4709999999999985,0.0,0.0
A_main,28002,label_swap,conservative_prior,2000,0.6325,0.7397660818713451,0.6523573303833162,0.068,0.1545,0.145,0.6222222222222222,0.4202626641651032,0.501679731243001,0.0,0.0,0.45445,0.0,0.0
A_main,28002,label_swap,eager_eatl,2000,0.974,0.974,0.9732503685515111,0.017,0.009,0.0,0.9470404984423676,0.9712460063897763,0.9589905362776026,0.10199999999999987,1.0,0.19240000000000151,0.0,0.669
A_main,28002,label_swap,risk_aware_eatl,2000,0.983,0.983,0.9798005868921225,0.008,0.009,0.0,0.9743589743589743,0.9712460063897763,0.9728,0.06375999999999948,0.6425,0.10916000000000008,0.0,0.3195
A_main,28002,label_swap,cached_eatl,2000,0.9745,0.9745,0.9744839116220452,0.0175,0.008,0.0,0.9457364341085271,0.9744408945686901,0.9598741148701809,0.08210999999999967,0.805,0.17441000000000076,0.0,0.541
A_main,28002,label_swap,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28002,label_swap,random_test_control,2000,0.488,0.488,0.4908315545200459,0.355,0.157,0.0,0.30528375733855184,0.4984025559105431,0.3786407766990291,0.06630000000000039,1.0,1.9355000000000138,0.0,0.501
A_main,28002,mixed,text_prior,2000,0.8245,0.8245,0.8136671163075438,0.122,0.0535,0.0,0.6246153846153846,0.7914230019493177,0.698194325021496,0.0,0.0,0.6420999999999996,0.0,0.0
A_main,28002,mixed,calibrated_text_prior,2000,0.8245,0.8245,0.8136671163075438,0.122,0.0535,0.0,0.6246153846153846,0.7914230019493177,0.698194325021496,0.0,0.0,0.6420999999999996,0.0,0.0
A_main,28002,mixed,passive_vision_proxy,2000,0.805,0.805,0.8688634835238735,0.195,0.0,0.0,0.5681063122923588,1.0,0.7245762711864406,0.0,0.0,0.975,0.0,0.0
A_main,28002,mixed,uncertainty_vision_proxy,2000,0.805,0.8979364194088121,0.928515625,0.0915,0.0,0.1035,0.7370689655172413,1.0,0.8486352357320099,0.0,0.0,0.47302499999999825,0.0,0.0
A_main,28002,mixed,conservative_prior,2000,0.739,0.8643274853801169,0.7978801169590644,0.0625,0.0535,0.145,0.6527777777777778,0.6871345029239766,0.6695156695156695,0.0,0.0,0.3663499999999988,0.0,0.0
A_main,28002,mixed,eager_eatl,2000,0.974,0.974,0.9729389602677394,0.0185,0.0075,0.0,0.930841121495327,0.9707602339181286,0.950381679389313,0.10199999999999987,1.0,0.19900000000000154,0.0,0.8065
A_main,28002,mixed,risk_aware_eatl,2000,0.9845,0.9845,0.9780849231350064,0.0065,0.009,0.0,0.9744094488188977,0.9649122807017544,0.9696376101860922,0.057844999999999674,0.5845,0.09574500000000005,0.0,0.3995
A_main,28002,mixed,cached_eatl,2000,0.9685,0.9685,0.9698786493994083,0.0245,0.007,0.0,0.9105839416058394,0.9727095516569201,0.9406220546654099,0.08618999999999971,0.845,0.21289000000000155,0.0,0.7055
A_main,28002,mixed,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28002,mixed,random_test_control,2000,0.485,0.485,0.4883165471775531,0.3855,0.1295,0.0,0.24780487804878049,0.4951267056530214,0.33029908972691807,0.06630000000000039,1.0,2.071500000000017,0.0,0.4865
A_main,28002,adversarial_counterfeit,text_prior,2000,0.8005,0.8005,0.8754670764462131,0.1965,0.003,0.0,0.3953846153846154,0.9771863117870723,0.5629791894852136,0.0,0.0,0.9843,0.0,0.0
A_main,28002,adversarial_counterfeit,calibrated_text_prior,2000,0.8005,0.8005,0.8754670764462131,0.1965,0.003,0.0,0.3953846153846154,0.9771863117870723,0.5629791894852136,0.0,0.0,0.9843,0.0,0.0
A_main,28002,adversarial_counterfeit,passive_vision_proxy,2000,0.771,0.771,0.8681635002878526,0.229,0.0,0.0,0.3647711511789182,1.0,0.5345528455284553,0.0,0.0,1.145,0.0,0.0
A_main,28002,adversarial_counterfeit,uncertainty_vision_proxy,2000,0.771,0.8816466552315609,0.930349932705249,0.1035,0.0,0.1255,0.5595744680851064,1.0,0.7175989085948159,0.0,0.0,0.5363249999999988,0.0,0.0
A_main,28002,adversarial_counterfeit,conservative_prior,2000,0.7385,0.8637426900584795,0.9061702897389281,0.1135,0.003,0.145,0.36944444444444446,0.9568345323741008,0.533066132264529,0.0,0.0,0.5910499999999995,0.0,0.0
A_main,28002,adversarial_counterfeit,eager_eatl,2000,0.962,0.962,0.9636036083365621,0.0335,0.0045,0.0,0.7912772585669782,0.9657794676806084,0.8698630136986302,0.10199999999999987,1.0,0.2722000000000029,0.0,0.7775
A_main,28002,adversarial_counterfeit,risk_aware_eatl,2000,0.9685,0.9685,0.9721855565843824,0.0285,0.003,0.0,0.8184713375796179,0.9771863117870723,0.8908145580589255,0.07770999999999986,0.767,0.2220100000000014,0.0,0.554
