family,seed,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
D_cache_validity,28306,demand_compatible_cache,8000,0.954125,0.954125,0.9239964462890915,0.0405,0.005375,0.0,0.5192878338278932,0.8905852417302799,0.6560449859418932,0.031208875000000084,0.298125,0.23693387499999502,0.031625,0.0
D_cache_validity,28307,no_cache,8000,0.977875,0.977875,0.9784030149883809,0.02125,0.000875,0.0,0.657258064516129,0.978978978978979,0.7864897466827504,0.10318331250000891,1.0,0.2099583124999834,0.0,0.0
D_cache_validity,28307,strict_cache,8000,0.976,0.976,0.9745522227588225,0.022875,0.001125,0.0,0.6390532544378699,0.972972972972973,0.7714285714285716,0.05618806250000079,0.539625,0.17123806249999612,0.010375,0.0
D_cache_validity,28307,label_only_cache,8000,0.719875,0.719875,0.8150744327214916,0.27675,0.003375,0.0,0.12142857142857143,0.918918918918919,0.21451104100946375,0.0025701875,0.025,1.3883451875000017,0.27625,0.0
D_cache_validity,28307,ttl_cache,8000,0.950625,0.950625,0.9397693637291915,0.046375,0.003,0.0,0.45441176470588235,0.9279279279279279,0.6100691016781835,0.01804706249999992,0.175,0.2517220624999947,0.042625,0.0
D_cache_validity,28307,demand_compatible_cache,8000,0.951125,0.951125,0.9141770569317198,0.043625,0.00525,0.0,0.4546875,0.8738738738738738,0.5981500513874615,0.027012875000000033,0.257,0.248287874999991,0.03725,0.0
D_cache_validity,28308,no_cache,8000,0.97325,0.97325,0.9687315838971298,0.025,0.00175,0.0,0.6503496503496503,0.9637305699481865,0.7766179540709811,0.10316543750000887,1.0,0.22921543749997533,0.0,0.0
D_cache_validity,28308,strict_cache,8000,0.96675,0.96675,0.9714651630280191,0.032125,0.001125,0.0,0.5946372239747634,0.9766839378238342,0.7392156862745098,0.055158250000000776,0.529,0.21645824999999158,0.018375,0.0
D_cache_validity,28308,label_only_cache,8000,0.71175,0.71175,0.8165970512459323,0.285,0.00325,0.0,0.13636363636363635,0.9326424870466321,0.2379378717779246,0.0025770625000000004,0.025,1.4295270625000027,0.2845,0.0
D_cache_validity,28308,ttl_cache,8000,0.952,0.952,0.9255965626450321,0.043,0.005,0.0,0.5014492753623189,0.8963730569948186,0.6431226765799257,0.01805506249999991,0.175,0.23605506249999525,0.038875,0.0
D_cache_validity,28308,demand_compatible_cache,8000,0.95175,0.95175,0.913168542812463,0.042,0.00625,0.0,0.5,0.8704663212435233,0.6351606805293005,0.026487437500000013,0.25225,0.24023743749999754,0.038125,0.0
D_cache_validity,28309,no_cache,8000,0.972375,0.972375,0.9661179406037002,0.0255,0.002125,0.0,0.6616915422885572,0.9591346153846154,0.7831207065750737,0.10310756250000884,1.0,0.2318825624999787,0.0,0.0
D_cache_validity,28309,strict_cache,8000,0.976625,0.976625,0.9706314913988965,0.0215,0.001875,0.0,0.699825479930192,0.9639423076923077,0.8109201213346815,0.05741231250000087,0.5515,0.1660373124999956,0.008375,0.0
D_cache_validity,28309,label_only_cache,8000,0.73775,0.73775,0.7969307854592664,0.255125,0.007125,0.0,0.14958333333333335,0.8629807692307693,0.25497159090909094,0.0025694374999999997,0.025,1.2824694375000019,0.25475,0.0
D_cache_validity,28309,ttl_cache,8000,0.949,0.949,0.9253894839337877,0.04575,0.00525,0.0,0.5054054054054054,0.8990384615384616,0.6470588235294117,0.01806218749999991,0.175,0.24996218749999416,0.041625,0.0
D_cache_validity,28309,demand_compatible_cache,8000,0.941875,0.941875,0.8864157335280753,0.049,0.009125,0.0,0.4666666666666667,0.8245192307692307,0.5960034752389226,0.028494812500000043,0.27175,0.2789698124999925,0.042,0.0
D_cache_validity,28310,no_cache,8000,0.973625,0.973625,0.9717895525557243,0.025125,0.00125,0.0,0.6149425287356322,0.9697885196374623,0.7526377491207503,0.10313868750000876,1.0,0.22951368749997925,0.0,0.0
D_cache_validity,28310,strict_cache,8000,0.9735,0.9735,0.9760604844158162,0.025625,0.000875,0.0,0.6124763705103969,0.9788519637462235,0.7534883720930231,0.0579981875000009,0.557,0.18664818749999068,0.010375,0.0
D_cache_validity,28310,label_only_cache,8000,0.711375,0.711375,0.8205513309557566,0.286125,0.0025,0.0,0.11961538461538461,0.9395770392749244,0.21221426134425111,0.002594062499999999,0.025,1.4347190625000021,0.2855,0.0
D_cache_validity,28310,ttl_cache,8000,0.950625,0.950625,0.9424486859837877,0.046625,0.00275,0.0,0.4530791788856305,0.9335347432024169,0.6100691016781836,0.01803168749999991,0.175,0.2528066874999937,0.042,0.0
D_cache_validity,28310,demand_compatible_cache,8000,0.95775,0.95775,0.9533918286001751,0.040125,0.002125,0.0,0.494488188976378,0.9486404833836858,0.650103519668737,0.02908550000000006,0.277625,0.2309854999999926,0.03475,0.0
D_cache_validity,28311,no_cache,8000,0.97275,0.97275,0.9789355742296919,0.026625,0.000625,0.0,0.6182795698924731,0.9857142857142858,0.7599118942731278,0.1030915000000088,1.0,0.23659149999997406,0.0,0.0
D_cache_validity,28311,strict_cache,8000,0.9705,0.9705,0.9668534080298786,0.027875,0.001625,0.0,0.6017857142857143,0.9628571428571429,0.7406593406593405,0.05491206250000078,0.527125,0.1952620624999934,0.013,0.0
D_cache_validity,28311,label_only_cache,8000,0.7045,0.7045,0.7677871148459384,0.288375,0.007125,0.0,0.11269230769230769,0.8371428571428572,0.19864406779661017,0.0025778750000000003,0.025,1.4487278750000046,0.288375,0.0
D_cache_validity,28311,ttl_cache,8000,0.9405,0.9405,0.9320821661998133,0.056125,0.003375,0.0,0.4183937823834197,0.9228571428571428,0.5757575757575758,0.01803512499999991,0.175,0.3006851249999962,0.052125,0.0
D_cache_validity,28311,demand_compatible_cache,8000,0.951,0.951,0.9212138188608776,0.044125,0.004875,0.0,0.4683734939759036,0.8885714285714286,0.6134122287968442,0.028391625000000042,0.2705,0.2519416249999933,0.038125,0.0
D_cache_validity,28312,no_cache,8000,0.976375,0.976375,0.9724752781179113,0.022125,0.0015,0.0,0.6734317343173432,0.9681697612732095,0.7943416757344941,0.10302206250000878,1.0,0.21454706249998037,0.0,0.0
D_cache_validity,28312,strict_cache,8000,0.973,0.973,0.9795290046073746,0.026375,0.000625,0.0,0.6380789022298456,0.986737400530504,0.775,0.05814687500000083,0.55925,0.19039687499999303,0.0115,0.0
D_cache_validity,28312,label_only_cache,8000,0.690125,0.690125,0.802101242540114,0.306375,0.0035,0.0,0.12464285714285714,0.9257294429708223,0.21970412338684295,0.0025842499999999993,0.025,1.5365592500000034,0.305125,0.0
D_cache_validity,28312,ttl_cache,8000,0.952625,0.952625,0.9423636273166054,0.044125,0.00325,0.0,0.49857954545454547,0.9310344827586207,0.6493987049028677,0.018039937499999922,0.175,0.2406149374999938,0.040375,0.0
D_cache_validity,28312,demand_compatible_cache,8000,0.9465,0.9465,0.903850938333697,0.04675,0.00675,0.0,0.4634146341463415,0.8567639257294429,0.6014897579143389,0.028446750000000035,0.271875,0.2662467499999949,0.04025,0.0
